city,pollutant,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Delhi,SO2,2018,8760,8760,8760,0.0,2.69,62.4,0,0.0
Delhi,SO2,2019,8760,8760,8760,0.0,5.23,69.71,0,0.0
Delhi,SO2,2020,4369,4369,4369,0.0,5.8,45.56,0,0.0
Delhi,Toluene,2015,8759,8759,8759,0.0,0.0,117.26,0,0.0
Delhi,Toluene,2016,8784,8784,8758,0.3,0.0,117.16,0,0.0
Delhi,Toluene,2017,8760,8760,8760,0.0,0.0,104.65,0,0.0
Delhi,Toluene,2018,8760,8760,8760,0.0,0.49,162.0,0,0.0
Delhi,Toluene,2019,8760,8760,8760,0.0,2.5,149.53,0,0.0
Delhi,Toluene,2020,4369,4369,4369,0.0,3.87,122.36,0,0.0
Delhi,Xylene,2015,8759,8759,5050,42.35,0.0,100.27,0,0.0
Delhi,Xylene,2016,8784,8784,7,99.92,0.0,0.0,0,0.0
Delhi,Xylene,2017,8760,8760,2357,73.09,0.0,6.67,0,0.0
Delhi,Xylene,2018,8760,8760,8745,0.17,0.0,158.83,0,0.0
Delhi,Xylene,2019,8760,8760,8760,0.0,0.0,22.58,0,0.0
Delhi,Xylene,2020,4369,4369,4369,0.0,0.0,92.85,0,0.0
Hyderabad,Benzene,2015,8674,8674,5828,32.81,0.0,10.51,0,0.0
Hyderabad,Benzene,2016,8784,8784,8235,6.25,0.0,7.78,0,0.0
Hyderabad,Benzene,2017,8760,8760,8728,0.37,0.0,19.71,0,0.0
Hyderabad,Benzene,2018,8760,8760,8756,0.05,0.09,67.6,0,0.0
Hyderabad,Benzene,2019,8760,8760,8760,0.0,0.0,48.13,0,0.0
Hyderabad,Benzene,2020,4369,4369,4369,0.0,0.0,79.59,0,0.0
Hyderabad,CO,2015,8674,8674,8496,2.05,0.01,26.64,0,0.0
Hyderabad,CO,2016,8784,8784,8604,2.05,0.0,33.8,0,0.0
Hyderabad,CO,2017,8760,8760,8728,0.37,0.0,10.08,0,0.0
Hyderabad,CO,2018,8760,8760,8755,0.06,0.08,10.38,0,0.0
Hyderabad,CO,2019,8760,8760,8760,0.0,0.11,2.33,0,0.0
Hyderabad,CO,2020,4369,4369,4369,0.0,0.12,2.21,0,0.0
Hyderabad,NH3,2015,8674,8674,2236,74.22,1.4,79.8,0,0.0
Hyderabad,NH3,2016,8784,8784,5961,32.14,0.1,167.75,0,0.0
Hyderabad,NH3,2017,8760,8760,8313,5.1,0.03,224.63,0,0.0
Hyderabad,NH3,2018,8760,8760,8756,0.05,5.15,144.07,0,0.0
Hyderabad,NH3,2019,8760,8760,8760,0.0,3.11,118.19,0,0.0
Hyderabad,NH3,2020,4369,4369,4369,0.0,5.44,107.07,0,0.0
Hyderabad,NO,2015,8674,8674,8506,1.94,0.06,304.89,0,0.0
Hyderabad,NO,2016,8784,8784,7793,11.28,0.1,137.45,0,0.0
Hyderabad,NO,2017,8760,8760,8510,2.85,0.03,235.7,0,0.0
Hyderabad,NO,2018,8760,8760,8756,0.05,0.7,104.25,0,0.0
Hyderabad,NO,2019,8760,8760,8760,0.0,0.58,91.75,0,0.0
Hyderabad,NO,2020,4369,4369,4369,0.0,0.86,168.6,0,0.0
Hyderabad,NO2,2015,8674,8674,8501,1.99,0.28,181.52,0,0.0
Hyderabad,NO2,2016,8784,8784,7793,11.28,0.15,177.5,0,0.0
Hyderabad,NO2,2017,8760,8760,8510,2.85,1.03,244.65,0,0.0
Hyderabad,NO2,2018,8760,8760,8756,0.05,7.47,124.13,0,0.0
Hyderabad,NO2,2019,8760,8760,8760,0.0,3.25,123.77,0,0.0
